iter	RMSE
0	1968145.672
1	1949536.843
2	1934879.303
3	1920404.775
4	1902051.163
5	1887569.639
6	1873482.502
7	1856552.553
8	1842890.744
9	1825830.234
10	1808956.545
11	1795743.662
12	1779661.57
13	1763727.093
14	1748038.293
15	1732480.096
16	1717134.741
17	1701617.025
18	1689227.262
19	1674404.153
20	1659221.605
21	1643858.955
22	1628533.652
23	1613663.514
24	1602107.173
25	1587400.523
26	1576091.229
27	1565069.676
28	1549465.445
29	1536133.647
30	1522265.237
31	1511735.164
32	1498415.753
33	1487793.39
34	1475012.815
35	1464410.08
36	1454314.154
37	1441878.762
38	1429466.914
39	1416787.866
40	1404665.267
41	1394621.191
42	1382525.256
43	1370801.588
44	1359382.598
45	1350433.016
46	1338417.891
47	1327323.892
48	1315728.959
49	1304355.544
50	1293686.046
51	1282940.111
52	1272392.602
53	1262034.863
54	1251882.599
55	1241373.906
56	1231469.262
57	1221534.24
58	1211667.85
59	1201946.496
60	1192222.204
61	1182260.426
62	1172783.691
63	1165520.48
64	1158389.956
65	1149474.046
66	1140595.558
67	1130736.26
68	1121980.704
69	1115273.043
70	1106822.876
71	1097392.951
72	1089028.742
73	1080840.794
74	1071987.938
75	1065749.348
76	1057808.248
77	1049576.536
78	1042044.584
79	1034369.553
80	1028435.7
81	1019671.078
82	1012105.679
83	1004306.309
84	996857.792
85	989825.2508
86	982707.1994
87	975613.9106
88	968650.8109
89	961690.4426
90	956439.5386
91	951159.6329
92	944509.4478
93	939458.5078
94	934354.7276
95	929537.2051
96	923256.2861
97	916512.4763
98	910349.2461
99	905610.4571
100	899128.9231
101	886162.098
102	880326.5556
103	874448.5209
104	860996.6413
105	856278.6741
106	848696.102
107	843347.7314
108	839272.4493
109	835251.8574
110	828158.7163
111	822422.4942
112	812932.7252
113	805567.8686
114	801175.7258
115	795771.1882
116	784421.8283
117	780716.53
118	777070.5478
119	772174.9157
120	767225.1749
121	756470.1555
122	752922.6527
123	742523.9145
124	737861.9518
125	733348.6873
126	724355.939
127	719915.339
128	715496.1489
129	707713.6898
130	703682.6615
131	692427.8051
132	689341.3191
133	686330.4295
134	681166.251
135	674238.9529
136	665785.9108
137	661379.1908
138	652503.0582
139	647579.2082
140	643704.3278
141	637622.4008
142	633299.9632
143	629533.6579
144	622402.3001
145	619106.983
146	615189.4447
147	606982.4243
148	603044.6082
149	599214.5409
150	595492.2656
151	588074.5408
152	584682.6529
153	581307.496
154	578382.6223
155	572183.0167
156	568090.8417
157	564908.7271
158	561432.7187
159	557922.1234
160	554854.4556
161	552223.7264
162	545930.9566
163	542550.8779
164	539611.8114
165	533637.605
166	531614.6041
167	525774.5847
168	523755.795
169	517774.3566
170	512206.1676
171	509461.2269
172	506698.5868
173	504499.5331
174	501810.351
175	495499.1172
176	489394.3532
177	486794.2863
178	483734.8663
179	480950.5885
180	476282.9323
181	470447.0142
182	467820.1475
183	465231.2749
184	462473.8768
185	460239.8082
186	457921.8952
187	455602.3831
188	450858.4819
189	448264.3855
190	445900.7804
191	441694.8704
192	437370.4674
193	435393.1619
194	433197.5333
195	430969.2791
196	429331.2908
197	426319.4947
198	424106.9313
199	418977.2016
200	416973.1466
201	414224.8529
202	409194.0649
203	407018.3486
204	404956.9727
205	402652.5897
206	398138.2636
207	396151.7605
208	394121.3725
209	392023.9205
210	390128.4046
211	385458.2805
212	383746.8207
213	381919.3603
214	377545.8942
215	375586.9899
216	373830.4629
217	372102.0299
218	369772.2977
219	368095.1276
220	363580.0523
221	361773.5803
222	357286.1387
223	355520.8081
224	351783.6143
225	350219.5899
226	348446.5052
227	346930.6778
228	345439.513
229	342048.6186
230	338062.0947
231	336615.5177
232	335192.4817
233	333792.594
234	332415.6732
235	331061.2331
236	327391.0127
237	326067.531
238	324572.2971
239	322736.8148
240	318972.498
241	317716.8447
242	316481.9343
243	315267.4733
244	311980.558
245	310028.5139
246	308813.538
247	305573.6807
248	304430.2998
249	303082.2285
250	301975.0654
251	300886.4175
252	297882.4242
253	296819.4204
254	294026.5187
255	292988.3757
256	291990.8894
257	289051.6291
258	288074.0767
259	287088.9739
260	286007.3058
261	283322.1759
262	282395.9077
263	281352.1965
264	278712.335
265	276087.3158
266	275181.0312
267	274290.1195
268	272728.2153
269	270663.1015
270	269698.366
271	268873.6332
272	267265.8221
273	264991.0256
274	262776.5132
275	261863.0807
276	261083.7683
277	259787.4709
278	257540.3823
279	256272.523
280	254193.1932
281	253453.4411
282	252725.8636
283	252247.328
284	250055.6866
285	249239.9562
286	248548.2172
287	246494.2335
288	245708.2279
289	244934.8095
290	243071.0106
291	241193.8757
292	240779.3191
293	240033.4645
294	238324.7395
295	237597.0842
296	237208.5419
297	236827.3945
298	236454.3239
299	234834.7854
300	233283.4174
301	232593.0412
302	232243.1184
303	231569.6671
304	230909.7615
305	230578.0018
306	229099.616
307	228779.0629
308	227309.0747
309	225889.5243
310	225584.6918
311	225285.6835
312	224992.3905
313	223756.6855
314	223150.4505
315	222872.277
316	222281.1998
317	220896.8812
318	220525.6717
319	220266.1654
320	218941.7793
321	218595.8482
322	217500.3033
323	217165.3058
324	216824.4485
325	215715.6797
326	214659.1481
327	214328.8479
328	214016.7281
329	213087.9903
330	212775.7427
331	211657.0263
332	210835.2075
333	210544.2651
334	210262.3341
335	209972.3207
336	209700.5836
337	208776.3875
338	208509.1487
339	208237.4325
340	207550.8098
341	207296.089
342	206667.9465
343	206415.3701
344	206172.8959
345	205702.9925
346	204877.1845
347	204046.4313
348	203376.4544
349	202927.3611
350	202049.5766
351	201283.3007
352	201063.881
353	200848.9394
354	200638.3336
355	199635.5498
356	198825.9884
357	198692.0737
358	198497.0343
359	197642.2813
360	197440.5906
361	196722.0867
362	196542.2827
363	195953.2668
364	195770.1574
365	195598.701
366	195188.6112
367	195076.5144
368	194369.842
369	194199.987
370	194040.7838
371	193281.9521
372	192411.3392
373	192026.2548
374	191861.7882
375	191138.0905
376	190993.8924
377	190844.5181
378	190050.1134
379	189913.1965
380	189392.0929
381	189260.3096
382	188687.2618
383	188559.3937
384	188049.7725
385	187925.6343
386	187804.0331
387	187685.5999
388	187551.9448
389	187095.7283
390	186981.9099
391	186861.8889
392	186751.9922
393	186312.7207
394	186191.4413
395	186087.8226
396	185986.193
397	185886.1462
398	185788.6469
399	185271.5619
400	184672.085
401	183935.9691
402	183842.1766
403	183370.3543
404	183272.1406
405	182691.4858
406	182603.3114
407	182202.95
408	181643.7697
409	181291.5465
410	181207.5029
411	180826.9289
412	180675.8459
413	180627.2308
414	179977.4797
415	179899.9929
416	179438.4084
417	179393.2805
418	179318.9316
419	179272.4079
420	179200.4744
421	178848.3961
422	178267.0507
423	177642.6995
424	177212.4928
425	176919.6199
426	176837.8722
427	176771.9017
428	176312.0388
429	175954.8833
430	175891.3946
431	175452.0914
432	175390.3937
433	175001.77
434	174697.3556
435	174336.5388
436	173862.7987
437	173399.7152
438	173126.4553
439	173055.2695
440	172999.5118
441	172944.6913
442	172456.15
443	172389.2727
444	171881.8873
445	171394.6964
446	171113.4839
447	171063.0324
448	171013.487
449	170780.7737
450	170562.5807
451	170515.0013
452	170252.9648
453	170016.4385
454	169817.6205
455	169348.6318
456	169205.2553
457	168970.0297
458	168712.7878
459	168512.9246
460	168252.7175
461	167873.8097
462	167831.51
463	167463.2569
464	167257.8823
465	167043.6698
466	166829.5495
467	166486.9385
468	166171.7742
469	165744.1674
470	165360.5558
471	165321.0085
472	164959.1642
473	164661.2097
474	164021.6571
475	163616.0479
476	163353.6811
477	163153.7739
478	162850.8869
479	162635.4075
480	162240.3329
481	162197.3004
482	162053.9277
483	161667.8397
484	161631.1559
485	161426.1801
486	160984.685
487	160701.622
488	160504.5976
489	160468.6681
490	160190.8877
491	160124.5748
492	159756.4383
493	159567.188
494	159396.8423
495	159038.7747
496	158687.8091
497	158463.7191
498	158206.1871
499	157583.4433
500	157372.7432
501	156819.4892
502	156678.3938
503	156505.0088
504	155969.3351
505	155835.6347
506	155587.9061
507	155323.1246
508	155014.8052
509	154678.6978
510	154239.5578
511	153778.7846
512	153578.452
513	153326.2099
514	153117.6482
515	153055.5703
516	152901.0984
517	152751.1438
518	152620.1488
519	152306.6308
520	151874.1378
521	151822.9084
522	151587.0793
523	151417.3911
524	150979.0791
525	150673.8506
526	150483.3741
527	149865.9151
528	149593.9238
529	149052.4993
530	148531.9987
531	148350.5086
532	147795.9772
533	147461.0007
534	147031.6848
535	146614.6251
536	146208.759
537	145929.2577
538	145413.4716
539	145159.1246
540	144991.0485
541	144534.6872
542	144355.9728
543	143953.3148
544	143597.3175
545	143326.7577
546	142830.838
547	142543.3169
548	142387.2958
549	141992.5972
550	141673.5842
551	141625.1406
552	141179.8748
553	140867.657
554	140486.8492
555	140004.6428
556	139750.0482
557	139216.9081
558	138972.3595
559	138722.689
560	138422.1914
561	138272.0945
562	138152.1332
563	137966.5464
564	137737.6439
565	137508.0303
566	137195.8831
567	136784.6327
568	136486.4866
569	136156.761
570	135928.6729
571	135705.3703
572	135486.4967
573	134955.0773
574	134736.7354
575	134607.109
576	134220.1548
577	133844.0148
578	133545.5606
579	133245.738
580	133039.9529
581	132804.5682
582	132384.0538
583	132280.9954
584	131971.1973
585	131815.9028
586	131587.8451
587	131364.8299
588	131181.268
589	130913.9559
590	130754.5865
591	130559.9211
592	130024.7879
593	129813.7867
594	129552.2413
595	129410.3828
596	129188.1544
597	129014.4835
598	128752.8957
599	128570.7376
600	128393.0214
601	128155.3108
602	128019.9982
603	127772.2073
604	127606.9912
605	127167.8549
606	126976.9656
607	126604.9108
608	126443.3374
609	126184.451
610	125976.3489
611	125791.2125
612	125641.1358
613	125163.9383
614	124739.6961
615	124417.6471
616	124151.5285
617	124061.8937
618	123639.749
619	123439.3104
620	123320.2896
621	123125.7609
622	122938.0498
623	122764.4015
624	122587.1728
625	122304.0723
626	122163.5981
627	121671.583
628	121527.6143
629	121079.2631
630	120943.8071
631	120707.6572
632	120258.7314
633	120117.3497
634	120000.004
635	119731.744
636	119594.7222
637	119354.1351
638	119138.3862
639	119004.4527
640	118784.6851
641	118629.1653
642	118420.5517
643	118251.6937
644	118034.7221
645	117777.1078
646	117638.2043
647	117387.969
648	117180.9453
649	116889.1292
650	116507.7164
651	116095.8115
652	115857.1408
653	115679.6676
654	115547.4987
655	115429.0769
656	115231.3554
657	114982.8311
658	114877.7445
659	114750.2059
660	114639.0543
661	114530.0385
662	114338.6124
663	114187.5324
664	113936.0225
665	113702.9253
666	113428.7578
667	113138.7064
668	113037.3769
669	112844.4028
670	112748.1298
671	112405.689
672	112310.3139
673	112216.7687
674	112128.4298
675	111962.5495
676	111788.2902
677	111697.9058
678	111612.8161
679	111485.9352
680	111326.3492
681	111197.4124
682	111111.8378
683	111019.6864
684	110818.6862
685	110717.0974
686	110527.5043
687	110418.7076
688	110318.008
689	110236.4393
690	109983.5611
691	109671.6809
692	109595.0674
693	109171.4514
694	108987.6984
695	108910.7601
696	108835.2587
697	108748.2825
698	108346.2741
699	108274.1213
700	108203.3775
701	108133.9951
702	107978.847
703	107866.0567
704	107797.8693
705	107735.4849
706	107634.7706
707	107484.4797
708	107419.8812
709	107356.4496
710	107267.2691
711	107035.4061
712	106973.4042
713	106900.587
714	106805.805
715	106745.1369
716	106400.0915
717	106257.7875
718	106170.4796
719	106114.2041
720	106059.0882
721	105971.6054
722	105817.3376
723	105718.6329
724	105538.7609
725	105455.0681
726	105399.8057
727	105240.0078
728	105147.4312
729	104939.4443
730	104771.3812
731	104706.227
732	104655.4898
733	104478.1395
734	104289.143
