iter	Passed	Remaining
0	1	1123
1	1	941
2	2	697
3	2	569
4	2	553
5	3	564
6	3	529
7	4	533
8	4	499
9	5	497
10	5	475
11	5	463
12	6	469
13	6	481
14	7	496
15	8	502
16	8	503
17	8	488
18	9	492
19	10	499
20	10	500
21	11	502
22	11	492
23	12	495
24	12	496
25	13	487
26	13	487
27	14	488
28	14	489
29	14	481
30	15	480
31	15	474
32	16	476
33	16	477
34	17	479
35	18	490
36	18	490
37	19	493
38	20	495
39	20	495
40	21	495
41	21	489
42	22	489
43	22	489
44	22	484
45	23	478
46	23	477
47	23	471
48	24	467
49	24	469
50	25	468
51	25	468
52	26	467
53	26	467
54	27	464
55	27	463
56	27	459
57	28	459
58	28	459
59	29	465
60	30	463
61	30	464
62	31	467
63	31	467
64	32	462
65	32	457
66	32	455
67	33	455
68	33	454
69	33	449
70	34	448
71	34	448
72	35	445
73	35	448
74	36	448
75	36	445
76	37	448
77	37	449
78	38	446
79	38	446
80	39	448
81	39	447
82	40	447
83	40	445
84	41	444
85	41	441
86	42	441
87	42	440
88	43	440
89	43	439
90	44	440
91	44	438
92	44	436
93	45	438
94	45	437
95	46	437
96	46	435
97	47	435
98	47	434
99	48	434
100	48	434
101	49	433
102	49	433
103	50	435
104	51	438
105	51	436
106	52	435
107	52	437
108	53	434
109	53	432
110	54	440
111	55	438
112	56	441
113	57	444
114	57	444
115	58	443
116	58	443
117	59	443
118	59	441
119	59	439
120	60	438
121	61	440
122	61	439
123	65	464
124	66	464
125	66	464
126	68	467
127	68	468
128	69	470
129	70	470
130	71	472
131	72	475
132	73	476
133	73	473
134	73	474
135	74	475
136	75	475
137	76	475
138	76	475
139	77	476
140	78	477
141	79	477
142	79	478
143	80	477
144	81	478
145	81	477
146	82	477
147	83	478
148	83	479
149	84	478
150	85	479
151	86	480
152	86	481
153	87	480
154	87	478
155	88	479
156	89	479
157	89	479
158	90	477
159	91	477
160	91	478
161	92	476
162	93	482
163	94	482
164	98	499
165	99	500
166	99	497
167	100	499
168	101	500
169	102	500
170	103	499
171	103	498
172	104	497
173	104	496
174	105	495
175	105	495
176	106	494
177	106	493
178	107	491
179	107	489
180	108	489
181	111	500
182	111	499
183	112	498
184	112	496
185	113	495
186	114	497
187	114	496
188	115	495
189	116	495
190	116	493
191	118	498
192	119	498
193	119	497
194	120	497
195	121	497
196	121	496
197	122	495
198	122	493
199	123	493
200	123	492
201	124	491
202	125	490
203	125	489
204	125	488
205	126	487
206	127	486
207	127	485
208	127	483
209	128	482
210	128	480
211	129	479
212	129	479
213	130	478
214	130	477
215	131	475
216	131	473
217	131	472
218	132	471
219	132	469
220	132	468
221	133	467
222	133	466
223	134	465
224	134	464
225	135	462
226	135	462
227	136	461
228	136	459
229	137	458
230	137	457
231	137	456
232	138	454
233	138	453
234	138	451
235	139	450
236	140	451
237	140	449
238	140	448
239	141	448
240	142	447
241	142	446
242	142	444
243	142	442
244	143	442
245	143	441
246	144	440
247	145	439
248	145	438
249	146	438
250	146	437
251	146	435
252	147	434
253	147	433
254	147	432
255	148	430
256	148	429
257	149	429
258	149	428
259	150	427
260	150	426
261	150	425
262	151	423
263	151	422
264	152	421
265	152	421
266	152	419
267	153	418
268	153	417
269	154	417
270	154	416
271	154	414
272	155	413
273	155	413
274	156	412
275	156	411
276	157	409
277	157	409
278	157	408
279	158	407
280	158	406
281	159	405
282	159	404
283	159	402
284	160	401
285	160	401
286	160	399
287	161	399
288	161	398
289	162	397
290	162	396
291	163	396
292	163	394
293	163	393
294	164	393
295	164	392
296	165	390
297	165	389
298	165	387
299	165	387
300	166	386
301	166	385
302	167	384
303	167	383
304	167	382
305	168	381
306	168	380
307	168	379
308	169	379
309	170	378
310	170	377
311	170	376
312	170	374
313	171	374
314	175	380
315	175	379
316	175	378
317	176	377
318	176	377
319	176	375
320	177	375
321	178	376
322	179	375
323	179	374
324	180	374
325	180	373
326	181	373
327	181	372
328	182	371
329	182	370
330	183	370
331	184	370
332	184	369
333	184	368
334	185	368
335	186	367
336	186	367
337	187	366
338	187	365
339	188	365
340	188	364
341	188	363
342	189	362
343	189	361
344	190	360
345	190	360
346	191	359
347	191	359
348	192	358
349	192	358
350	193	357
351	194	357
352	194	356
353	194	355
354	195	355
355	195	354
356	196	353
357	196	352
358	197	352
359	198	352
360	199	352
361	199	352
362	200	352
363	201	351
364	201	350
365	202	350
366	203	350
367	203	349
368	204	349
369	204	348
370	205	348
371	206	347
372	206	347
373	207	346
374	207	346
375	208	345
376	208	344
377	209	344
378	209	343
379	210	342
380	210	342
381	211	341
382	211	340
383	212	340
384	212	339
385	213	339
386	213	338
387	214	338
388	215	337
389	215	337
390	216	337
391	217	336
392	217	336
393	218	335
394	218	334
395	219	334
396	219	333
397	220	333
398	221	333
399	221	332
400	222	332
401	223	331
402	223	331
403	224	331
404	224	330
405	225	329
406	225	329
407	226	328
408	227	328
409	227	327
410	228	327
411	229	326
412	229	326
413	229	325
414	230	324
415	231	325
416	232	324
417	232	323
418	232	323
419	233	322
420	233	321
421	235	322
422	236	322
423	236	321
424	237	321
425	238	321
426	238	320
427	239	320
428	240	319
429	241	319
430	241	319
431	242	319
432	243	318
433	244	318
434	245	318
435	245	318
436	246	317
437	247	317
438	248	317
439	248	316
440	249	316
441	250	316
442	251	315
443	251	315
444	252	315
445	253	315
446	254	314
447	255	314
448	255	314
449	256	313
450	257	313
451	258	313
452	258	312
453	259	312
454	260	311
455	261	311
456	261	311
457	262	310
458	262	309
459	263	309
460	264	308
461	264	308
462	265	307
463	265	306
464	266	306
465	266	305
466	267	304
467	267	304
468	268	303
469	268	302
470	269	302
471	269	301
472	270	301
473	270	300
474	271	299
475	271	299
476	272	298
477	272	297
478	273	297
479	273	296
480	274	296
481	274	295
482	275	294
483	276	294
484	276	293
485	277	293
486	277	292
487	278	291
488	278	291
489	279	290
490	279	290
491	280	289
492	280	288
493	281	288
494	282	287
495	282	287
496	283	286
497	283	285
498	284	285
499	284	284
500	285	284
501	285	283
502	286	282
503	286	282
504	287	281
505	287	280
506	288	280
507	288	279
508	289	279
509	290	279
510	290	278
511	291	277
512	291	277
513	292	276
514	292	275
515	293	275
516	294	275
517	295	274
518	296	274
519	297	274
520	297	273
521	298	273
522	298	272
523	299	271
524	299	271
525	300	270
526	300	269
527	301	269
528	301	268
529	302	267
530	302	267
531	303	266
532	304	266
533	305	266
534	305	265
535	306	265
536	307	265
537	308	264
538	309	264
539	309	263
540	310	263
541	311	263
542	311	262
543	312	261
544	313	261
545	313	260
546	314	260
547	317	261
548	317	260
549	318	260
550	318	259
551	319	259
552	320	258
553	320	258
554	321	257
555	321	256
556	322	256
557	322	255
558	323	255
559	323	254
560	324	253
561	324	253
562	325	252
563	325	251
564	326	251
565	326	250
566	327	249
567	327	249
568	328	248
569	328	248
570	329	247
571	329	246
572	330	246
573	330	245
574	331	244
575	331	244
576	332	243
577	332	243
578	333	242
579	333	241
580	334	241
581	335	240
582	335	240
583	336	239
584	337	239
585	338	238
586	338	238
587	339	237
588	340	237
589	341	237
590	342	236
591	342	236
592	344	236
593	345	235
594	346	235
595	346	235
596	347	234
597	348	234
598	349	234
599	350	233
600	353	234
601	353	233
602	354	233
603	355	233
604	356	232
605	357	232
606	358	232
607	359	231
608	360	231
609	360	230
610	361	230
611	362	229
612	364	230
613	365	229
614	366	229
615	366	228
616	367	228
617	368	227
618	368	226
619	369	226
620	369	225
621	370	225
622	370	224
623	371	223
624	372	223
625	372	222
626	373	222
627	373	221
628	374	220
629	374	220
630	375	219
631	375	218
632	376	218
633	377	217
634	378	217
635	378	216
636	379	216
637	379	215
638	380	214
639	380	214
640	381	213
641	382	213
642	383	212
643	384	212
644	385	212
645	386	211
646	387	211
647	387	210
648	388	210
649	389	209
650	390	209
651	391	208
652	392	208
653	393	207
654	393	207
655	395	207
656	395	206
657	396	206
658	397	205
659	398	205
660	401	205
661	402	205
662	402	204
663	403	203
664	403	203
665	404	202
666	404	201
667	405	201
668	405	200
669	406	200
670	406	199
671	407	198
672	407	198
673	408	197
674	409	196
675	409	196
676	410	195
677	410	195
678	411	194
679	411	193
680	412	193
681	413	192
682	414	192
683	414	191
684	415	190
685	415	190
686	416	189
687	416	188
688	417	188
689	417	187
690	418	187
691	419	186
692	419	186
693	420	185
694	421	184
695	421	184
696	421	183
697	422	182
698	423	182
699	423	181
700	424	181
701	425	180
702	425	179
703	426	179
704	426	178
705	427	177
706	427	177
707	428	176
708	429	176
709	430	175
710	431	175
711	431	174
712	432	174
713	433	173
714	434	173
715	435	172
716	436	172
717	437	171
718	437	171
719	438	170
720	439	170
721	440	169
722	441	169
723	441	168
724	442	167
725	443	167
726	443	166
727	444	166
728	444	165
729	445	164
730	446	164
731	446	163
732	447	162
733	447	162
734	448	161
735	448	160
736	449	160
737	449	159
738	450	159
739	450	158
740	451	157
741	451	157
742	452	156
743	452	155
744	453	155
745	453	154
746	454	153
747	455	153
748	455	152
749	456	152
750	456	151
751	457	150
752	457	150
753	458	149
754	458	148
755	459	148
756	459	147
757	460	146
758	460	146
759	461	145
760	461	145
761	462	144
762	462	143
763	463	143
764	463	142
765	464	141
766	464	141
767	465	140
768	465	139
769	466	139
770	466	138
771	467	138
772	467	137
773	468	136
774	469	136
